image_id,class,xmin,ymin,xmax,ymax
Image1,TextLabel,314,767,427,806
Image1,TextLabel,314,820,427,860
Image1,TextLabel,509,243,558,283
Image1,TextLabel,509,294,558,334
Image1,TextLabel,509,348,558,387
Image1,TextLabel,509,403,558,443
Image1,TextLabel,509,454,558,494
Image1,TextLabel,509,505,558,545
Image1,TextLabel,509,558,558,598
Image1,TextLabel,507,609,580,649
Image1,TextLabel,507,662,585,702
Image1,TextLabel,507,716,556,755
Image1,TextLabel,507,767,556,806
Image1,TextLabel,509,820,558,860
Image1,TextLabel,707,239,822,283
Image1,TextLabel,705,292,760,336
Image1,TextLabel,705,345,820,390
Image1,TextLabel,705,399,820,443
Image1,TextLabel,705,452,820,496
Image1,TextLabel,705,505,820,549
Image1,TextLabel,705,558,880,603
Image1,TextLabel,705,609,787,654
Image1,TextLabel,702,662,869,707
Image1,TextLabel,702,716,818,760
Image1,TextLabel,705,818,820,862
Image1,TextLabel,705,767,760,811
Image1,TextLabel,895,243,933,283
Image1,TextLabel,895,348,933,387
Image1,TextLabel,895,403,933,443
Image1,TextLabel,893,452,931,492
Image1,TextLabel,895,505,933,545
Image1,TextLabel,893,558,931,598
Image1,TextLabel,895,611,933,651
Image1,TextLabel,893,662,931,702
Image1,TextLabel,895,716,940,755
Image1,TextLabel,893,820,931,860
Image1,TextLabel,1095,241,1237,283
Image1,TextLabel,1088,396,1186,441
Image1,TextLabel,1088,452,1188,496
Image1,TextLabel,1088,503,1232,547
Image1,TextLabel,1088,556,1170,598
Image1,TextLabel,1090,605,1257,651
Image1,TextLabel,1090,658,1214,707
Image1,TextLabel,1090,711,1152,758
Image1,TextLabel,1088,820,1181,864
Image1,TextLabel,1290,241,1334,283
Image1,TextLabel,1285,399,1343,441
Image1,TextLabel,1285,452,1339,492
Image1,TextLabel,1285,507,1339,547
Image1,TextLabel,1285,556,1363,600
Image1,TextLabel,1285,605,1452,649
Image1,TextLabel,1285,658,1376,702
Image1,TextLabel,1285,711,1359,755
Image1,TextLabel,1283,815,1374,862
Image1,TextLabel,1509,243,1609,281
Image1,TextLabel,1512,299,1611,336
Image1,TextLabel,1512,350,1611,387
Image1,TextLabel,1509,401,1609,438
Image1,TextLabel,1509,454,1609,492
Image1,TextLabel,1512,509,1611,547
Image1,TextLabel,1507,558,1607,596
Image1,TextLabel,1509,611,1609,649
Image1,TextLabel,1509,662,1609,700
Image1,TextLabel,1512,718,1611,755
Image1,TextLabel,1509,771,1609,809
Image1,TextLabel,1509,822,1609,860
Image1,TextLabel,1700,246,1771,281
Image1,TextLabel,1700,297,1771,332
Image1,TextLabel,1702,350,1773,385
Image1,TextLabel,1704,403,1775,438
Image1,TextLabel,1702,454,1773,489
Image1,TextLabel,1700,507,1771,543
Image1,TextLabel,1700,558,1771,594
Image1,TextLabel,1702,611,1773,647
Image1,TextLabel,1702,665,1773,700
Image1,TextLabel,1700,716,1771,751
Image1,TextLabel,1702,771,1773,806
Image1,TextLabel,1702,826,1773,862
Image1,VerticalMenu,250,59,1920,115
Image1,DropdownItem,317,184,441,232
Image1,DropdownItem,505,184,616,232
Image1,DropdownItem,700,181,800,230
Image1,DropdownItem,895,181,968,230
Image1,DropdownItem,1093,184,1192,232
Image1,DropdownItem,1279,184,1379,232
Image1,DropdownItem,1478,184,1631,232
Image1,DropdownItem,1673,184,1840,232
Image1,TableHeader,250,179,1919,234
Image1,Row,250,237,1920,288
Image1,Row,250,288,1920,339
Image1,Row,250,339,1920,390
Image1,Row,250,390,1920,445
Image1,Row,250,445,1920,501
Image1,Row,250,501,1920,556
Image1,Row,250,556,1919,603
Image1,Row,250,603,1920,654
Image1,Row,250,654,1920,705
Image1,Row,250,705,1919,760
Image1,Row,250,760,1920,811
Image1,Row,250,811,1920,862
Image1,WorkingArea,250,117,1920,937
Image2,Icon,13,13,44,44
Image2,Icon,1693,11,1724,46
Image2,Icon,1631,15,1665,46
Image2,Icon,1751,15,1786,46
Image2,Icon,1866,6,1913,55
Image2,Icon,1811,15,1844,46
Image2,Icon,545,15,578,46
Image2,TextLabel,66,17,199,48
Image2,TextLabel,232,17,279,46
Image2,InputField,540,11,1121,50
Image2,TitleBar,0,0,1917,57
Image2,Icon,13,68,42,101
Image2,Icon,13,117,39,148
Image2,Icon,13,161,42,195
Image2,Icon,13,206,37,237
Image2,Icon,13,554,39,591
Image2,Icon,8,600,42,640
Image2,Icon,13,700,42,738
Image2,Icon,11,509,42,549
Image2,Icon,11,470,42,503
Image2,Icon,203,161,237,192
Image2,Icon,203,252,237,283
Image2,Icon,203,203,237,235
Image2,Icon,206,310,239,341
Image2,Icon,206,365,239,396
Image2,Icon,206,753,239,784
Image2,Icon,203,809,237,840
Image2,Icon,203,423,237,454
Image2,Icon,206,654,239,685
Image2,MenuItem,6,113,195,152
Image2,MenuItem,6,157,195,197
Image2,MenuItem,6,201,195,241
Image2,MenuItem,6,252,195,292
Image2,MenuItem,6,308,195,348
Image2,MenuItem,4,363,192,403
Image2,MenuItem,2,416,190,456
Image2,SubmenuItem,4,467,203,507
Image2,SubmenuItem,4,509,203,549
Image2,SubmenuItem,4,552,203,591
Image2,SubmenuItem,4,600,203,640
Image2,MenuItem,4,651,192,691
Image2,MenuItem,8,751,197,791
Image2,MenuItem,6,806,195,846
Image2,SubmenuItem,6,700,206,740
Image2,Menu,0,57,248,939
Image2,InputField,1656,124,1880,168
Image2,Icon,261,68,292,101
Image2,Icon,458,68,489,104
Image2,Icon,707,70,742,101
Image2,Icon,554,68,580,99
Image2,Icon,829,64,855,101
Image2,Icon,312,68,341,101
Image2,Icon,443,133,476,164
Image2,Icon,1339,130,1372,166
Image2,Icon,1505,126,1534,164
Image2,Icon,414,195,432,223
Image2,Icon,591,195,609,223
Image2,Icon,778,195,795,223
Image2,Icon,946,195,964,223
Image2,Icon,1168,195,1186,223
Image2,Icon,1356,195,1374,223
Image2,Icon,1609,192,1627,221
Image2,Icon,1813,192,1831,221
Image2,Icon,263,188,305,228
Image2,Icon,399,192,416,223
Image2,Icon,1478,243,1509,281
Image2,Icon,1478,299,1509,336
Image2,Icon,1478,350,1509,387
Image2,Icon,1476,401,1507,438
Image2,Icon,1478,454,1509,492
Image2,Icon,1478,509,1509,547
Image2,Icon,1478,558,1509,596
Image2,Icon,1478,611,1509,649
Image2,Icon,1476,665,1507,702
Image2,Icon,1478,771,1509,809
Image2,Icon,1478,822,1509,860
Image2,Icon,1478,720,1509,758
Image2,Icon,1671,250,1700,285
Image2,Icon,1671,301,1700,336
Image2,Icon,1673,354,1702,390
Image2,Icon,1673,405,1702,441
Image2,Icon,1671,461,1700,496
Image2,Icon,1673,512,1702,547
Image2,Icon,1671,565,1700,600
Image2,Icon,1671,618,1700,654
Image2,Icon,1671,669,1700,705
Image2,Icon,1671,720,1700,755
Image2,Icon,1671,775,1700,811
Image2,Icon,1671,826,1700,862
Image2,Icon,1760,897,1791,931
Image2,Icon,1864,897,1888,931
Image2,Icon,1722,897,1755,931
Image2,Icon,266,458,308,498
Image2,TextLabel,279,902,392,928
Image2,TextLabel,1800,904,1853,928
Image2,Button,301,57,441,110
Image2,Button,452,59,538,110
Image2,Button,547,57,693,110
Image2,Button,700,57,815,110
Image2,Button,822,59,1008,110
Image2,Button,1330,121,1487,172
Image2,Button,1498,121,1631,172
Image2,TextLabel,281,124,445,168
Image2,TextLabel,319,403,407,443
Image2,TextLabel,319,352,412,392
Image2,TextLabel,317,301,430,341
Image2,TextLabel,317,248,430,288
Image2,TextLabel,319,456,403,496
Image2,TextLabel,319,505,447,545
Image2,TextLabel,319,558,414,598
Image2,TextLabel,317,609,438,649
Image2,TextLabel,317,662,441,702
Image2,TextLabel,317,716,430,755
Image2,TextLabel,314,767,427,806
Image2,TextLabel,314,820,427,860
Image2,TextLabel,509,248,623,288
Image2,TextLabel,509,294,558,334
Image2,TextLabel,509,348,558,387
Image2,TextLabel,509,403,558,443
Image2,TextLabel,509,454,558,494
Image2,TextLabel,509,505,558,545
Image2,TextLabel,509,558,558,598
Image2,TextLabel,507,609,565,649
Image2,TextLabel,507,662,563,702
Image2,TextLabel,507,716,556,755
Image2,TextLabel,507,767,556,806
Image2,TextLabel,509,820,558,860
Image2,TextLabel,702,243,884,288
Image2,TextLabel,705,292,760,336
Image2,TextLabel,705,345,820,390
Image2,TextLabel,705,399,853,443
Image2,TextLabel,705,452,820,496
Image2,TextLabel,705,505,820,549
Image2,TextLabel,705,558,880,603
Image2,TextLabel,705,609,787,654
Image2,TextLabel,702,662,869,707
Image2,TextLabel,702,716,784,760
Image2,TextLabel,705,818,820,862
Image2,TextLabel,705,767,826,811
Image2,TextLabel,895,243,933,283
Image2,TextLabel,895,348,933,387
Image2,TextLabel,895,403,933,443
Image2,TextLabel,893,452,931,492
Image2,TextLabel,893,505,931,545
Image2,TextLabel,893,558,931,598
Image2,TextLabel,893,609,931,649
Image2,TextLabel,897,662,935,702
Image2,TextLabel,893,713,931,753
Image2,TextLabel,893,820,931,860
Image2,TextLabel,1084,301,1226,343
Image2,TextLabel,1088,396,1208,441
Image2,TextLabel,1088,452,1265,496
Image2,TextLabel,1088,507,1263,552
Image2,TextLabel,1090,662,1148,711
Image2,TextLabel,1090,718,1234,764
Image2,TextLabel,1088,822,1239,866
Image2,TextLabel,1285,405,1387,447
Image2,TextLabel,1285,452,1381,492
Image2,TextLabel,1285,507,1339,547
Image2,TextLabel,1281,665,1350,709
Image2,TextLabel,1279,718,1430,762
Image2,TextLabel,1281,824,1343,866
Image2,TextLabel,1509,248,1609,285
Image2,TextLabel,1512,299,1611,336
Image2,TextLabel,1512,350,1611,387
Image2,TextLabel,1509,401,1609,438
Image2,TextLabel,1509,454,1609,492
Image2,TextLabel,1512,509,1611,547
Image2,TextLabel,1507,558,1607,596
Image2,TextLabel,1509,611,1609,649
Image2,TextLabel,1509,662,1609,700
Image2,TextLabel,1512,718,1611,755
Image2,TextLabel,1509,771,1609,809
Image2,TextLabel,1509,822,1609,860
Image2,TextLabel,1702,250,1773,285
Image2,TextLabel,1702,303,1773,339
Image2,TextLabel,1704,354,1775,390
Image2,TextLabel,1704,407,1775,443
Image2,TextLabel,1702,454,1773,489
Image2,TextLabel,1700,507,1771,543
Image2,TextLabel,1700,558,1771,594
Image2,TextLabel,1702,611,1773,647
Image2,TextLabel,1702,665,1773,700
Image2,TextLabel,1702,720,1773,755
Image2,TextLabel,1702,775,1773,811
Image2,TextLabel,1702,826,1773,862
Image2,TextLabel,893,771,931,811
Image2,TextLabel,893,299,931,339
Image2,TextLabel,1086,350,1228,392
Image2,TextLabel,1283,354,1336,396
Image2,TextLabel,1283,299,1410,341
Image2,TextLabel,1088,769,1188,815
Image2,TextLabel,1279,769,1423,815
Image2,VerticalMenu,250,59,1920,115
Image2,DropdownItem,317,184,441,232
Image2,DropdownItem,505,184,616,232
Image2,DropdownItem,700,181,800,230
Image2,DropdownItem,895,181,968,230
Image2,DropdownItem,1093,184,1192,232
Image2,DropdownItem,1279,184,1379,232
Image2,DropdownItem,1478,184,1631,232
Image2,DropdownItem,1673,184,1840,232
Image2,TableHeader,250,179,1919,234
Image2,Row,250,237,1919,290
Image2,Row,250,290,1919,343
Image2,Row,250,343,1919,396
Image2,Row,250,396,1919,452
Image2,Row,250,452,1919,503
Image2,Row,250,503,1920,558
Image2,Row,250,558,1919,605
Image2,Row,250,605,1920,656
Image2,Row,250,656,1919,711
Image2,Row,250,711,1919,762
Image2,Row,250,762,1919,818
Image2,Row,250,818,1919,869
Image2,WorkingArea,250,117,1920,937
Image3,Icon,13,13,44,44
Image3,Icon,1693,11,1724,46
Image3,Icon,1631,15,1665,46
Image3,Icon,1751,15,1786,46
Image3,Icon,1866,6,1913,55
Image3,Icon,1811,15,1844,46
Image3,Icon,545,15,578,46
Image3,TextLabel,66,17,199,48
Image3,TextLabel,232,17,279,46
Image3,InputField,540,11,1121,50
Image3,TitleBar,0,0,1917,57
Image3,Icon,13,68,42,101
Image3,Icon,13,117,39,148
Image3,Icon,13,161,42,195
Image3,Icon,13,206,37,237
Image3,Icon,13,554,39,591
Image3,Icon,8,600,42,640
Image3,Icon,13,700,42,738
Image3,Icon,11,509,42,549
Image3,Icon,11,470,42,503
Image3,Icon,203,161,237,192
Image3,Icon,203,252,237,283
Image3,Icon,203,203,237,235
Image3,Icon,206,310,239,341
Image3,Icon,206,365,239,396
Image3,Icon,206,753,239,784
Image3,Icon,203,809,237,840
Image3,Icon,203,423,237,454
Image3,Icon,206,654,239,685
Image3,MenuItem,6,113,195,152
Image3,MenuItem,6,157,195,197
Image3,MenuItem,6,201,195,241
Image3,MenuItem,6,252,195,292
Image3,MenuItem,6,308,195,348
Image3,MenuItem,4,363,192,403
Image3,MenuItem,2,416,190,456
Image3,SubmenuItem,4,467,203,507
Image3,SubmenuItem,4,509,203,549
Image3,SubmenuItem,4,552,203,591
Image3,SubmenuItem,4,600,203,640
Image3,MenuItem,4,651,192,691
Image3,MenuItem,6,806,195,846
Image3,SubmenuItem,6,700,206,740
Image3,Menu,0,57,248,939
Image3,InputField,1656,124,1880,168
Image3,Icon,261,68,292,101
Image3,Icon,458,68,489,104
Image3,Icon,707,70,742,101
Image3,Icon,554,68,580,99
Image3,Icon,829,64,855,101
Image3,Icon,312,68,341,101
Image3,Icon,443,133,476,164
Image3,Icon,1339,130,1372,166
Image3,Icon,1505,126,1534,164
Image3,Icon,414,195,432,223
Image3,Icon,591,195,609,223
Image3,Icon,778,195,795,223
Image3,Icon,946,195,964,223
Image3,Icon,1168,195,1186,223
Image3,Icon,1356,195,1374,223
Image3,Icon,1609,192,1627,221
Image3,Icon,1813,192,1831,221
Image3,Icon,263,188,305,228
Image3,Icon,399,192,416,223
Image3,Icon,1478,235,1509,272
Image3,Icon,1478,290,1509,328
Image3,Icon,1478,341,1509,379
Image3,Icon,1476,394,1507,432
Image3,Icon,1478,447,1509,485
Image3,Icon,1476,498,1507,536
Image3,Icon,1478,549,1509,587
Image3,Icon,1476,603,1507,640
Image3,Icon,1476,658,1507,696
Image3,Icon,1476,760,1507,798
Image3,Icon,1476,811,1507,849
Image3,Icon,1476,707,1507,744
Image3,Icon,1474,864,1505,902
Image3,Icon,1671,237,1700,272
Image3,Icon,1671,288,1700,323
Image3,Icon,1671,341,1700,376
Image3,Icon,1671,392,1700,427
Image3,Icon,1673,447,1702,483
Image3,Icon,1673,498,1702,534
Image3,Icon,1671,552,1700,587
Image3,Icon,1671,603,1700,638
Image3,Icon,1671,658,1700,693
Image3,Icon,1673,707,1702,742
Image3,Icon,1673,762,1702,798
Image3,Icon,1671,813,1700,849
Image3,Icon,1673,864,1702,900
Image3,Icon,1760,897,1791,931
Image3,Icon,1864,897,1888,931
Image3,Icon,1722,897,1755,931
Image3,Icon,263,494,305,534
Image3,TextLabel,279,902,392,928
Image3,TextLabel,1800,904,1853,928
Image3,Button,301,57,441,110
Image3,Button,452,59,538,110
Image3,Button,547,57,693,110
Image3,Button,700,57,815,110
Image3,Button,822,59,1008,110
Image3,Button,1330,121,1487,172
Image3,Button,1498,121,1631,172
Image3,TextLabel,281,124,445,168
Image3,TextLabel,319,390,432,430
Image3,TextLabel,317,336,434,376
Image3,TextLabel,317,288,414,328
Image3,TextLabel,317,237,405,277
Image3,TextLabel,319,443,412,483
Image3,TextLabel,317,862,421,902
Image3,TextLabel,319,549,461,589
Image3,TextLabel,317,600,438,640
Image3,TextLabel,317,654,412,693
Image3,TextLabel,317,707,407,747
Image3,TextLabel,314,758,403,798
Image3,TextLabel,314,811,441,851
Image3,TextLabel,509,235,558,274
Image3,TextLabel,509,285,558,325
Image3,TextLabel,509,339,558,379
Image3,TextLabel,509,394,558,434
Image3,TextLabel,509,445,569,485
Image3,TextLabel,509,496,591,536
Image3,TextLabel,509,549,572,589
Image3,TextLabel,507,600,569,640
Image3,TextLabel,507,654,585,693
Image3,TextLabel,507,707,556,747
Image3,TextLabel,507,758,556,798
Image3,TextLabel,509,811,558,851
Image3,TextLabel,702,237,826,274
Image3,TextLabel,700,283,818,328
Image3,TextLabel,700,339,778,381
Image3,TextLabel,700,392,778,434
Image3,TextLabel,700,443,747,487
Image3,TextLabel,700,496,877,540
Image3,TextLabel,700,549,751,594
Image3,TextLabel,700,600,798,645
Image3,TextLabel,698,654,877,698
Image3,TextLabel,698,707,873,751
Image3,TextLabel,700,809,824,853
Image3,TextLabel,700,758,842,802
Image3,TextLabel,895,235,933,274
Image3,TextLabel,895,339,933,379
Image3,TextLabel,895,394,933,434
Image3,TextLabel,893,443,931,483
Image3,TextLabel,893,496,931,536
Image3,TextLabel,893,549,931,589
Image3,TextLabel,893,600,931,640
Image3,TextLabel,895,654,933,693
Image3,TextLabel,895,709,933,749
Image3,TextLabel,893,811,931,851
Image3,TextLabel,1086,237,1192,274
Image3,TextLabel,1086,392,1159,432
Image3,TextLabel,1081,864,1246,908
Image3,TextLabel,1084,598,1201,642
Image3,TextLabel,1081,709,1186,749
Image3,TextLabel,1084,809,1190,853
Image3,TextLabel,1281,235,1336,277
Image3,TextLabel,1283,390,1421,432
Image3,TextLabel,1281,598,1394,642
Image3,TextLabel,1277,704,1370,749
Image3,TextLabel,1281,815,1341,853
Image3,TextLabel,1509,235,1609,272
Image3,TextLabel,1512,290,1611,328
Image3,TextLabel,1512,341,1611,379
Image3,TextLabel,1509,392,1609,430
Image3,TextLabel,1509,445,1609,483
Image3,TextLabel,1512,501,1611,538
Image3,TextLabel,1507,549,1607,587
Image3,TextLabel,1509,603,1609,640
Image3,TextLabel,1509,654,1609,691
Image3,TextLabel,1512,709,1611,747
Image3,TextLabel,1509,762,1609,800
Image3,TextLabel,1509,813,1609,851
Image3,TextLabel,1700,237,1771,272
Image3,TextLabel,1700,288,1771,323
Image3,TextLabel,1702,341,1773,376
Image3,TextLabel,1704,394,1775,430
Image3,TextLabel,1702,445,1773,481
Image3,TextLabel,1700,498,1771,534
Image3,TextLabel,1700,549,1771,585
Image3,TextLabel,1702,603,1773,638
Image3,TextLabel,1702,656,1773,691
Image3,TextLabel,1700,707,1771,742
Image3,TextLabel,1702,762,1773,798
Image3,TextLabel,1702,818,1773,853
Image3,TextLabel,507,864,556,904
Image3,TextLabel,702,864,826,908
Image3,TextLabel,895,285,933,325
Image3,TextLabel,895,760,933,800
Image3,TextLabel,895,864,933,904
Image3,TextLabel,1086,339,1159,379
Image3,TextLabel,1281,866,1341,904
Image3,TextLabel,1283,336,1458,379
Image3,TextLabel,1507,864,1607,902
Image3,TextLabel,1702,864,1773,900
Image3,VerticalMenu,250,59,1920,115
Image3,DropdownItem,317,184,441,232
Image3,DropdownItem,505,184,616,232
Image3,DropdownItem,700,181,800,230
Image3,DropdownItem,895,181,968,230
Image3,DropdownItem,1093,184,1192,232
Image3,DropdownItem,1279,184,1379,232
Image3,DropdownItem,1478,184,1631,232
Image3,DropdownItem,1673,184,1840,232
Image3,TableHeader,250,179,1919,234
Image3,Row,250,283,1920,334
Image3,Row,250,334,1920,385
Image3,Row,250,385,1920,436
Image3,Row,250,436,1920,492
Image3,Row,250,492,1920,543
Image3,Row,250,543,1919,596
Image3,Row,250,596,1919,649
Image3,Row,250,649,1920,700
Image3,Row,250,700,1920,751
Image3,Row,250,751,1919,806
Image3,Row,250,806,1920,857
Image3,Row,250,857,1919,906
Image3,Row,250,237,1919,283
Image3,WorkingArea,250,117,1920,937
Image4,Icon,13,13,44,44
Image4,Icon,1693,11,1724,46
Image4,Icon,1631,15,1665,46
Image4,Icon,1751,15,1786,46
Image4,Icon,1866,6,1913,55
Image4,Icon,1811,15,1844,46
Image4,Icon,545,15,578,46
Image4,TextLabel,66,17,199,48
Image4,TextLabel,232,17,279,46
Image4,InputField,540,11,1121,50
Image4,TitleBar,0,0,1917,57
Image4,Icon,13,68,42,101
Image4,Icon,13,117,39,148
Image4,Icon,13,161,42,195
Image4,Icon,13,206,37,237
Image4,Icon,13,554,39,591
Image4,Icon,8,600,42,640
Image4,Icon,13,700,42,738
Image4,Icon,11,509,42,549
Image4,Icon,11,470,42,503
Image4,Icon,203,161,237,192
Image4,Icon,203,252,237,283
Image4,Icon,203,203,237,235
Image4,Icon,206,310,239,341
Image4,Icon,206,365,239,396
Image4,Icon,206,753,239,784
Image4,Icon,203,809,237,840
Image4,Icon,203,423,237,454
Image4,Icon,206,654,239,685
Image4,MenuItem,6,113,195,152
Image4,MenuItem,6,157,195,197
Image4,MenuItem,6,201,195,241
Image4,MenuItem,6,252,195,292
Image4,MenuItem,6,308,195,348
Image4,MenuItem,4,363,192,403
Image4,MenuItem,2,416,190,456
Image4,SubmenuItem,4,467,203,507
Image4,SubmenuItem,4,509,203,549
Image4,SubmenuItem,4,552,203,591
Image4,SubmenuItem,4,600,203,640
Image4,MenuItem,4,651,192,691
Image4,MenuItem,8,751,197,791
Image4,MenuItem,6,806,195,846
Image4,SubmenuItem,6,700,206,740
Image4,Menu,0,57,248,939
Image4,InputField,1656,124,1880,168
Image4,Icon,261,68,292,101
Image4,Icon,458,68,489,104
Image4,Icon,707,70,742,101
Image4,Icon,554,68,580,99
Image4,Icon,829,64,855,101
Image4,Icon,312,68,341,101
Image4,Icon,443,133,476,164
Image4,Icon,1339,130,1372,166
Image4,Icon,1505,126,1534,164
Image4,Icon,414,195,432,223
Image4,Icon,591,195,609,223
Image4,Icon,778,195,795,223
Image4,Icon,946,195,964,223
Image4,Icon,1168,195,1186,223
Image4,Icon,1356,195,1374,223
Image4,Icon,1609,192,1627,221
Image4,Icon,1813,192,1831,221
Image4,Icon,263,188,305,228
Image4,Icon,399,192,416,223
Image4,Icon,1478,270,1509,308
Image4,Icon,1478,323,1509,361
Image4,Icon,1478,374,1509,412
Image4,Icon,1478,427,1509,465
Image4,Icon,1476,478,1507,516
Image4,Icon,1476,532,1507,569
Image4,Icon,1476,583,1507,620
Image4,Icon,1474,636,1505,673
Image4,Icon,1476,742,1507,780
Image4,Icon,1474,793,1505,831
Image4,Icon,1476,685,1507,722
Image4,Icon,1476,846,1507,884
Image4,Icon,1671,270,1700,305
Image4,Icon,1671,321,1700,356
Image4,Icon,1671,374,1700,410
Image4,Icon,1671,425,1700,461
Image4,Icon,1671,478,1700,514
Image4,Icon,1671,532,1700,567
Image4,Icon,1671,583,1700,618
Image4,Icon,1671,634,1700,669
Image4,Icon,1673,689,1702,724
Image4,Icon,1673,740,1702,775
Image4,Icon,1671,793,1700,829
Image4,Icon,1673,846,1702,882
Image4,Icon,1760,897,1791,931
Image4,Icon,1864,897,1888,931
Image4,Icon,1722,897,1755,931
Image4,Icon,263,423,305,463
Image4,TextLabel,279,902,392,928
Image4,TextLabel,1800,904,1853,928
Image4,Button,301,57,441,110
Image4,Button,452,59,538,110
Image4,Button,547,57,693,110
Image4,Button,700,57,815,110
Image4,Button,822,59,1008,110
Image4,Button,1330,121,1487,172
Image4,Button,1498,121,1631,172
Image4,TextLabel,281,124,445,168
Image4,TextLabel,317,370,430,410
Image4,TextLabel,317,321,430,361
Image4,TextLabel,317,270,430,310
Image4,TextLabel,319,476,432,516
Image4,TextLabel,319,529,432,569
Image4,TextLabel,319,583,425,622
Image4,TextLabel,317,634,407,673
Image4,TextLabel,317,687,412,727
Image4,TextLabel,317,740,423,780
Image4,TextLabel,314,791,419,831
Image4,TextLabel,314,844,436,884
Image4,TextLabel,507,268,556,308
Image4,TextLabel,507,319,556,359
Image4,TextLabel,507,372,556,412
Image4,TextLabel,507,427,576,467
Image4,TextLabel,507,478,572,518
Image4,TextLabel,507,529,556,569
Image4,TextLabel,507,583,556,622
Image4,TextLabel,505,634,567,673
Image4,TextLabel,505,687,567,727
Image4,TextLabel,505,740,554,780
Image4,TextLabel,505,791,554,831
Image4,TextLabel,507,844,556,884
Image4,TextLabel,702,263,826,308
Image4,TextLabel,700,317,826,361
Image4,TextLabel,700,370,778,414
Image4,TextLabel,700,423,880,467
